REGEOGR;VB01001_SEXO;VB01002_COR_RACA;VB01003_IDADE;VB01010A-PESSOAS;VB01021-SERIE;VB01022-TURNO;VB01026-PRETENSAO;VB02024-ALIMENTACAO;TEMPOEDFIS;VB07010-BULLYING;VB09010-AGRESSÃO;VB09016-ABUSO;VB06001
1;2;1;14;6;4;1;1;3;50;1;1;2;2
1;1;4;16;3;4;1;3;1;110;1;1;2;2
1;2;4;14;2;4;1;3;1;0;2;1;2;2
1;2;1;15;2;4;1;3;1;50;1;1;2;1
1;1;4;16;3;4;1;4;1;90;2;1;2;2
1;2;1;13;4;4;1;1;1;70;1;1;2;2
1;1;4;14;5;4;1;3;1;130;2;1;2;2
1;2;1;15;4;4;1;3;1;0;1;1;2;1
1;2;4;14;3;4;1;3;1;10;1;1;2;2
1;1;4;16;4;4;1;3;1;390;2;1;2;2
1;2;1;14;4;4;1;3;1;30;2;1;2;2
1;1;4;17;4;4;1;5;1;55;3;6;1;1
1;2;4;13;4;4;1;3;1;5;2;1;2;2
1;1;4;14;4;4;1;3;1;130;2;1;2;2
1;1;4;14;3;4;1;1;1;90;2;1;2;2
1;2;4;15;4;4;1;1;1;10;2;1;2;2
1;1;4;17;5;4;1;1;1;70;2;1;2;1
1;1;4;14;5;4;1;3;1;0;2;1;2;2
1;1;2;15;3;4;1;3;1;70;2;1;2;2
1;2;4;15;4;4;1;3;1;0;1;1;2;2
1;1;1;14;5;4;1;3;1;130;1;1;2;2
1;2;4;14;6;4;1;3;1;0;1;1;2;2
1;2;4;13;5;4;1;3;1;10;2;1;2;2
1;1;5;15;6;4;1;3;1;0;2;1;2;1
1;1;4;14;5;4;1;3;3;30;1;1;2;2
1;2;2;14;3;4;1;3;1;0;2;1;2;2
1;1;4;15;5;4;1;5;1;20;2;1;2;2
1;1;4;15;5;4;1;1;1;70;2;1;2;2
1;2;1;16;4;4;1;4;2;10;1;1;2;2
1;2;5;14;5;4;3;3;3;10;2;1;1;2
1;1;2;17;4;4;3;3;1;90;1;4;2;2
1;2;2;14;5;4;3;3;1;130;2;1;2;2
1;2;4;15;5;4;3;3;1;0;2;1;2;1
